Model Name,Training Time,Train Loss,Train Acc,Test Acc,Num Params,Optimizer,Learning Rate,Batch Size,Image Size,Epochs
vgg_1,25.886772394180298,0.26138928532600403,0.933333158493042,0.9333332777023315,33556481,adam,0.001,5,128,5
vgg_16,17.00751519203186,2.147153615951538,0.897222101688385,0.9044443964958191,15763521,adam,0.001,5,128,5
vgg_16,19.977522611618042,2.2480690479278564,0.810555636882782,0.8755555748939514,15763521,adam,0.001,5,128,5
vgg_16,16.15926432609558,3.0141942501068115,0.7527778744697571,0.8755554556846619,15763521,adam,0.001,5,128,5
vgg_16,16.61460542678833,2.8604753017425537,0.8755555748939514,0.9044443964958191,15763521,adam,0.001,5,128,5
vgg_1,25.6716730594635,0.004859922919422388,1.0,0.36666667461395264,33558287,adam,0.001,5,128,5
vgg_1,30.33876872062683,0.044594526290893555,1.0,0.20000000298023224,33558287,adam,0.001,5,128,5
vgg_16,15.967659711837769,0.00019559085194487125,1.0,0.4333333373069763,15765327,adam,0.001,5,128,5
vgg_16,15.845442771911621,0.00011410845763748512,1.0,0.4000000059604645,15765327,adam,0.001,5,128,5
vgg_16,17.70305824279785,0.0002583370660431683,1.0,0.40625,15765456,adam,0.001,5,128,5
vgg_16,223.4358263015747,2.8330889108474366e-05,1.0,0.25,18911184,adam,0.001,5,256,20
